joid,journalid,name,periodical_type,publication_date,puid
961004,J79,Communications of the ACM,magazine,1962-10-01,1545
961009,J597,ACM SIGOPS Operating Systems Review,newsletter,1977-07-01,1545
961072,J961,"ACM Transactions on Multimedia Computing, Communications, and Applications (TOMM)",transaction,2014-01-01,1545
961095,J781,ACM Transactions on Modeling and Computer Simulation (TOMACS),transaction,2013-07-01,1545
961127,J689,ACM SIGMOD Record,newsletter,1995-03-01,1545
961193,J373,interactions,magazine,2015-04-27,1545
961832,J778,ACM Transactions on Graphics (TOG),transaction,2013-07-21,1545
961837,J62,ACM SIGDOC Asterisk Journal of Computer Documentation,newsletter,1986-04-01,1545
961845,J46,ACM SIGAPL APL Quote Quad,newsletter,1981-03-01,1545
961867,J967,ACM Journal on Emerging Technologies in Computing Systems (JETC),journal,2013-11-01,1545
961873,J783,ACM Transactions on Programming Languages and Systems (TOPLAS),transaction,1995-09-01,1545
961878,J707,ACM SIGSAM Bulletin,newsletter,1993-09-01,1545
961931,J204,ACM Computing Surveys (CSUR),journal,2010-02-01,1545
961950,J706,ACM SIGPLAN Notices,newsletter,1993-05-01,1545
961962,J882,Queue,magazine,2013-08-01,1545
961979,J219,ACM SIGMIS Database,newsletter,2002-08-29,1545
962109,J1351,Communication Design Quarterly Review,newsletter,2009-03-01,1545
962111,J32,ACM SIGAda Ada Letters,newsletter,1991-04-01,1545
962130,J693,ACM SIGAPP Applied Computing Review,newsletter,1996-09-01,1545
962137,J166,ACM SIGGRAPH Computer Graphics,newsletter,1986-05-01,1545
962191,J957,ACM Transactions on Speech and Language Processing (TSLP),transaction,2013-07-01,1545
962276,J981,ACM Transactions on Sensor Networks (TOSN),transaction,2009-05-01,1545
962299,J188,ACM SIGCPR Computer Personnel,newsletter,1977-12-01,1545
962324,J790,ACM Transactions on Software Engineering and Methodology (TOSEM),transaction,2006-01-01,1545
962336,J728,ACM SIGSOFT Software Engineering Notes,newsletter,1989-05-01,1545
962356,J960,ACM Transactions on Storage (TOS),transaction,2010-07-01,1545
962372,J688,ACM SIGCSE Bulletin,newsletter,1997-09-01,1545
962389,J401,Journal of the ACM (JACM),journal,1988-01-01,1545
