pid,articleid,title,publication_date,joid,prid
242625,140382,Active messages,1992-04-01,,242732
204856,224553,Run-time methods for parallelizing partially parallel loops,1995-07-03,,204971
676776,290762,&#8220;Interactive poem system&#8221;,1998-09-01,,676883
48532,1100556,A Dynamic Compilation Framework for Controlling Microprocessor Energy and Performance,2005-11-12,,48576
1101676,962448,Containment and equivalence for a fragment of XPath,2004-01-01,962389,
557975,882336,Animating suspended particle explosions,2003-07-01,,558050
774495,98722,Write-only disk caches,1990-05-01,,774563
6122,1690410,Novel tactile display for emotional tactile experience,2009-10-29,,6543
451121,1276463,Dappled photography,2007-07-29,,451245
822588,1194861,Leveraging Optical Technology in Future Bus-based Chip Multiprocessors,2006-12-09,,822595
133892,267834,Progressive TINs,1997-11-01,,133927
753556,1026812,Multi-fidelity storage,2004-10-15,,753586
554785,237600,Profile driven weighted decomposition,1996-01-01,,554856
1789,1409275,A tool for video content understanding on mobile smartphones,2008-09-02,,2092
686468,566477,A microarchitectural-level step-power analysis tool,2002-08-12,,686502
829777,304963,Polytopes in arrangements,1999-06-13,,829849
4875,1995650,A comparison of SOAP and REST implementations of a service based interaction independence middleware framework,2009-12-13,,5618
490044,545470,The string edit distance matching problem with moves,2002-01-06,,490111
261481,1247631,ORCHESTRA,2007-06-11,,261534
250815,964462,Evaluation of visual balance for automated layout,2004-01-13,,251011
840391,581365,ArchJava,2002-05-19,,840567
692236,1229439,Potential show-stoppers for transactional synchronization,2007-03-14,,692337
866084,109690,Walking on an arrangement topologically,1991-06-01,,866100
374291,1047391,SPIMbot,2005-02-23,,374615
356349,314715,Flow and stretch metrics for scheduling continuous job streams,1998-01-01,,356439
501714,1056883,Attention-based design of augmented reality interfaces,2005-04-02,,502321
7080,808140,Computing at Carnegie-Mellon University,1984-01-01,,7123
93261,506521,MetaMuse,2002-04-20,,93730
1027019,355547,On the sorting-complexity of suffix tree construction,2000-11-01,962389,
979682,566659,Social synthetic characters,2002-05-01,962137,
149855,1281151,The complexity of updating multi-writer snapshot objects,2007-08-12,,149984
135097,951167,Visualizing multidimensional (multivariate) data and relations,1994-10-17,,135109
350271,1006238,The energy efficiency of CMP vs. SMT for multimedia workloads,2004-06-26,,350309
2206,1186159,CirculaFloor,2004-08-08,,2322
116111,1242136,The floating words for kids,2002-07-21,,116706
405490,167023,Effectiveness of trace sampling for performance debugging tools,1993-06-01,,405515
666830,1281244,A probabilistic framework for relational clustering,2007-08-12,,667095
3924,2648724,Write intensity prediction for energy-efficient non-volatile caches,2013-09-04,,4123
413785,1250796,Voronoi diagrams in n &#183; 2<sup>o(&#8730;lg lg n)</sup> time,2007-06-11,,413979
915123,674158,Basic Block Distribution Analysis to Find Periodic Behavior and Simulation Points in Applications,2001-09-08,,915168
935807,514229,Hybrid analysis,2002-06-22,,935829
541,1753470,Enhancing directed content sharing on the web,2010-04-10,,1544
686620,314507,Dynamic algebraic algorithms,1994-01-23,,686692
1582,1559776,Beyond viewpoint,2009-06-16,,1647
1071093,1241837,Measurement and classification of out-of-sequence packets in a tier-1 IP backbone,2007-02-01,967203,
160957,1064104,The visibility--voronoi complex and its applications,2005-06-06,,161056
431203,1128892,Identifying flat and tubular regions of a shape by unstable manifolds,2006-06-06,,431273
