prid,proceedingid,title,subtitle,proc_desc,con_city,con_state,con_country,con_start_date,con_end_date,publication_date,puid
1544,1753326,Human Factors in Computing Systems,,Proceedings of the SIGCHI Conference,Atlanta,Georgia,USA,2010-04-10,2010-04-15,2010-04-10,1545
1647,1559764,3D Web Technology,,Proceedings of the 14th International Conference,Darmstadt,,Germany,2009-06-16,2009-06-17,2009-06-16,1545
2092,1409240,Human computer interaction with mobile devices and services,,Proceedings of the 10th international conference,Amsterdam,,The Netherlands,2008-09-02,2008-09-05,2008-09-02,1545
2199,2660517,Semantic Systems,,Proceedings of the 10th International Conference,Leipzig,,Germany,2014-09-04,2014-09-05,2014-09-04,1545
2322,1186155,,,ACM SIGGRAPH 2004 Emerging technologies,Los Angeles,California,,2004-08-08,2004-08-12,2004-08-08,1545
2411,1658260,,,Proceedings of the 5th Grid Computing Environments Workshop,Portland,Oregon,,2009-11-20,2009-11-20,2009-11-20,1545
2462,982452,Video surveillance,,First ACM SIGMM international workshop,Berkeley,California,,2003-11-02,2003-11-08,2003-11-02,1545
2677,949531,Visualization '90,,Proceedings of the 1st conference,San Francisco,California,,1990-10-23,1990-10-26,1990-10-23,2678
2786,379240,Computer architecture,,Proceedings of the 28th annual international symposium,G&#246;teborg,,Sweden,2001-06-30,2001-07-04,2001-06-01,1545
2998,997817,Computational geometry,,Proceedings of the twentieth annual symposium,Brooklyn,New York,USA,2004-06-08,2004-06-11,2004-06-08,1545
3038,1569136,Software Development Governance,,Proceedings of the 2009 ICSE Workshop,,,,2009-05-17,2009-05-17,2009-05-17,3039
3062,2072521,Multimedia in forensics and intelligence,,Proceedings of the 3rd international ACM workshop,Scottsdale,Arizona,USA,2011-11-29,2011-11-29,2011-11-29,1545
3528,2399016,Human-Computer Interaction,Making Sense Through Design,Proceedings of the 7th Nordic Conference,Copenhagen,,Denmark,2012-10-14,2012-10-17,2012-10-14,1545
3656,2721956,Pattern Languages of Programs,,Proceedings of the 19th European Conference,Irsee,,Germany,2014-07-09,2014-07-13,2014-07-09,1545
3712,1016687,Network troubleshooting,"research, theory and operations practice meet malfunctioning reality",Proceedings of the ACM SIGCOMM workshop,Portland,Oregon,USA,2004-09-03,2004-09-03,2004-09-03,1545
4123,2648668,Low Power Electronics and Design,,Proceedings of the 2013 International Symposium,Beijing,,China,2013-09-04,2013-09-06,2013-09-04,4124
4312,1454008,Recommender systems,,Proceedings of the 2008 ACM conference,Lausanne,,Switzerland,2008-10-23,2008-10-25,2008-10-23,1545
4331,2489798,Dynamic Languages and Applications,,Proceedings of the 7th Workshop,Montpellier,,France,2013-07-01,2013-07-01,2013-07-01,1545
4396,1080776,Dynamic interconnection of networks,,Proceedings of the 1st ACM workshop,Cologne,,Germany,2005-09-02,2005-09-02,2005-09-02,1545
5618,1995456,,,Winter Simulation Conference,Austin,Texas,,2009-12-13,2009-12-16,2009-12-13,5619
5659,2500863,Data Mining in Bioinformatics,,Proceedings of the 12th International Workshop,Chicago,Illinois,,2013-08-11,2013-08-14,2013-08-11,1545
