aid,pid
2780,528444
2881,2877
2941,660615
2734,479360
2780,822503
2919,607757
2787,396095
2875,528792
2750,769713
2712,1124356
2912,587106
2897,217297
2855,512697
2800,151504
7028,132304
6995,849658
2744,437112
2736,688784
2799,866034
2888,797281
2731,638297
2744,483659
2872,2870
2829,2850
7028,718124
2932,2931
2766,935778
6971,63037
2810,217458
2780,502869
2760,859079
2759,926084
2813,615154
2760,686439
2780,479378
7066,851576
7003,995772
7063,1079878
6948,421100
2905,2903
2741,347158
7006,167904
2448,554266
6972,946063
2808,1067506
6810,82901
2810,132338
2911,36867
2831,2828
2859,773111
2855,806326
7006,1030151
2557,866758
2450,104011
6972,229375
2744,346951
7039,356387
2770,926064
7028,368208
2556,287320
2555,87914
2770,1031937
2827,644974
2911,866099
2911,887327
7039,829761
2781,992540
7037,1060173
2831,946059
2832,2828
2450,2447
2928,642401
2855,144573
2787,348714
2990,268485
2759,647404
6994,1083437
2901,2931
6810,675028
2825,2824
2921,2915
2770,251912
2875,587147
2907,569392
2736,140718
2888,15956
2858,63116
2784,717317
2784,340899
2803,2801
2800,229367
2859,63116
2808,706289
2744,736766
2791,23962
2952,508399
6990,323234
2911,16276
2901,108590
2888,1113838
6948,190894
2813,15930
2928,490196
2738,894555
7039,632262
7037,16137
2878,367935
2878,36839
2774,981614
2899,922206
2770,162851
6995,6992
2811,587067
7037,855349
2911,2934
7027,91344
6810,103474
2813,797235
7028,490063
2448,741518
2860,686611
2813,229312
7008,1121696
7031,161406
2855,144577
2450,234968
2712,79663
7028,380159
2813,829817
2813,367934
2919,413569
2749,577758
2803,281793
2868,660615
2787,268624
2794,787592
2899,757563
2810,396085
2907,787557
7008,405506
2855,512698
2679,747503
2871,2870
2855,756448
6810,892618
7063,1082807
2555,2554
2772,528381
2932,108590
7006,172886
7044,283066
2760,915156
2982,2980
6948,776616
2899,2898
2744,90443
2797,508389
6993,587089
2788,553529
2744,654687
2875,396088
2770,2767
2855,116397
2772,879499
2774,396303
2807,887310
2901,404101
2916,2915
2744,688785
2788,528697
7028,490045
2911,799365
2875,797281
2855,2852
2875,188394
7045,776625
7028,78297
6973,820254
2766,649878
2901,71807
7063,970093
2901,16071
2784,198672
2787,899975
2808,2804
2907,71864
2901,2898
2907,508414
2797,489915
2791,604257
2759,675014
2769,1124106
6991,6989
2810,829792
2810,16181
2935,2934
2813,151496
7037,945985
2744,894555
2901,16004
2860,201956
2854,705569
2928,2925
7028,455719
2910,160989
2907,2906
2784,432677
2859,967757
7031,1029199
2800,2796
2981,787636
2859,686567
7063,628559
2812,71863
2770,426744
2932,71807
2774,112513
6793,1085200
7003,341918
2759,836785
2760,1064660
2859,356423
6972,528748
2813,207865
2770,326238
2859,217380
2919,1019942
2781,769578
2791,71772
2868,604457
6812,1116264
2860,229301
2875,451055
2805,2804
6993,797257
2749,747561
2963,2959
2808,587150
2766,818004
2813,615204
2811,787593
2770,597151
2825,553521
2875,15956
2921,181688
2947,738021
2805,508412
2784,638305
2888,78077
2900,170947
2797,2906
2781,496286
2842,490066
2858,294012
6972,149979
2770,421710
6973,770351
2859,887285
