pid,citedpid
204856,675014
204856,736767
48532,30992
48532,326309
48532,340858
48532,393905
48532,432693
48532,478023
48532,769543
48532,927793
1101676,16004
1101676,632260
557975,53534
557975,348650
557975,773036
6122,93272
6122,432595
6122,1012369
822588,112489
822588,654641
822588,1047354
133892,797282
686468,479352
490044,24138
490044,404101
490044,455719
356349,27465
356349,516686
1027019,229301
149855,1077538
149855,1122730
135097,2561
135097,2565
135097,2570
350271,2771
350271,261844
350271,479352
350271,508195
350271,536782
350271,1106431
405490,424895
405490,1030151
666830,425836
666830,425928
666830,682508
935807,204856
431203,2934
431203,160992
431203,621818
371270,819758
371270,1122730
371270,1136867
326096,404101
18514,268634
686555,18590
686555,887343
607911,2530
437293,613985
437293,1000560
18539,490167
523435,677601
927793,2709
927793,2728
927793,862575
927793,879461
927793,879470
797192,229323
1061900,501715
1061900,940528
356473,555369
356473,675085
849664,300117
849664,622110
849664,835663
849664,835664
849664,879991
849664,879992
2761,357061
2761,479398
2761,696064
2761,696066
2761,696089
2761,720208
16093,91373
16093,395993
684405,333770
684405,579222
684405,756429
2925,894660
157759,242625
157759,490200
1039406,359747
1039406,657828
1039406,690582
496322,6788
496322,257268
496322,357113
496322,456690
496322,500510
25386,437131
25386,654641
25386,880027
437179,424895
161001,2939
161001,160999
525310,205382
356310,395994
356310,399605
356310,783639
356310,797281
769746,500509
769746,500510
597170,190894
597170,405225
500519,79664
1020705,2748
1020705,638297
1020705,1139331
334224,245824
334224,508389
334224,784178
334224,784190
334224,787622
1029632,18529
1029632,421087
1029632,796197
775219,123162
775219,500520
775219,541092
775219,696045
516754,6949
644933,24007
644933,399605
614047,775081
614047,789895
570,262
570,1125499
490074,112702
490074,155037
4242,827332
4242,983868
946053,644959
638290,894559
574766,2756
574766,25461
574766,479343
574766,479352
574766,502797
574766,574757
574766,696066
892618,510053
385126,2778
385126,385121
385126,479378
385126,502788
385126,769578
385126,879461
48331,259987
48331,904040
859126,242625
859126,317104
859126,380266
859126,508185
859126,542439
859126,677613
859126,696096
859126,799820
1020451,62018
68089,171420
696094,554744
2856,78173
2856,78226
2856,490040
2856,757563
655669,172886
655669,778248
797235,151580
696083,508195
696083,654710
456753,261830
456753,926064
229312,151498
510821,188509
510821,333838
510821,334184
510821,557975
510821,563149
510821,684450
776639,421100
834738,421712
834738,479398
834738,654710
834738,859085
261856,204935
261856,272252
261856,479378
261856,720208
261856,879462
261856,915151
261856,927790
996387,438509
996387,892763
16355,161406
16355,323231
16355,368206
333838,334184
333838,334313
333838,348650
333838,557975
658345,30870
658345,261822
658345,720195
658345,879498
955729,335390
955729,486204
927792,2709
927792,2764
927792,162898
927792,479352
927792,479378
927792,508195
927792,696066
927792,834738
927792,862575
875104,579303
875104,784153
613985,587115
15926,356433
658339,2700
658339,500509
658339,541092
658339,834778
658339,879507
658339,915123
658339,927794
658339,1020337
642319,851519
341918,341778
991033,479352
326346,479352
991036,261822
991036,405449
991036,479385
991036,654641
991036,769535
829765,16072
829765,151516
829765,569347
575861,444520
575861,852809
575861,852811
575861,941076
868969,331525
868969,486251
569332,356423
569332,396071
569332,396079
569332,797281
569332,1029630
72099,964012
2035,1742
2035,2035
942778,657828
855300,326096
855300,404014
855300,508342
855300,508414
855300,628559
855300,1011209
855300,1057925
71849,160992
4232,492823
4232,492824
4232,613929
4232,983868
421085,421071
421085,880001
396107,367910
1134350,972298
859086,347144
874947,334275
6840,796686
395526,48273
395526,783456
395526,941077
427231,579178
1133201,88114
1133201,444623
1133201,922474
1133201,1133191
151511,773110
82864,1015619
82864,1082776
926074,25443
926074,834696
574602,63576
574602,261830
574602,574599
574602,916881
6794,359747
6794,690582
1008304,219232
946837,221695
161034,2945
769558,2709
769558,2761
769558,479378
769558,496308
769558,496317
769558,654710
769558,688801
769558,696089
769558,769543
769558,879461
769558,927815
15995,396074
15995,796223
380719,2525
356988,123177
356988,479385
356988,696045
356988,769732
356988,880027
770142,916009
217451,219149
217451,674931
525332,455572
525332,787908
525332,922474
1007845,169505
1007845,169509
1007845,1092975
1007845,1095899
542439,242625
542439,380266
542439,508185
542439,660496
542439,677613
123177,409768
123177,880027
123177,1030151
1103056,357039
696097,123177
696097,242578
696097,242580
696097,380279
696097,409820
696097,1030151
866865,558004
553562,946045
569375,151581
569375,516743
114517,2457
114517,753538
346906,2771
346906,479352
346906,496308
346906,688778
346906,879499
644927,36813
644959,36865
644959,1111271
91099,48273
91099,78173
91099,112789
91099,554328
91099,636341
91099,757563
91099,922206
722517,123177
722517,380279
722517,654641
722517,696045
722517,696097
684462,69605
684462,579222
684462,756429
1102001,2782
1102001,261822
1102001,328826
1102001,401933
1102001,426849
1102001,456690
1102001,496320
1102001,769566
1102001,915123
1102001,927815
261822,915123
261822,915124
424895,242580
224141,82741
4277,983868
762336,725205
30876,2709
30876,927790
30876,927793
30876,927794
610667,116023
